Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
130.3,0.43,0.01,1.19,5.30,5.95,23.26,99.99,0.19,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
292.2,2.17,0.05,8.60,28.43,22.79,3.37,36.04,1.83,1.06,12.71,2.90,0.31,14.65,14.61,4.84,94.37,0.22
407.7,5.07,0.03,15.40,11.60,11.45,17.38,28.77,1.75,3.52,19.26,7.98,0.64,43.04,10.19,7.45,52.93,1.03
540.5,1.00,0.01,3.22,8.36,5.98,8.23,12.57,0.40,0.92,5.96,1.64,0.13,14.92,2.89,1.41,14.57,0.11
680.5,2.55,0.03,7.79,15.52,13.53,26.90,26.28,1.47,3.32,90.30,6.68,0.61,56.35,8.85,4.05,23.65,0.51
891.6,3.97,0.03,11.33,9.55,10.31,29.00,8.29,1.91,3.95,30.08,11.99,0.72,99.99,12.17,5.45,12.67,0.50
1099.5,9.34,0.10,26.99,37.24,35.11,42.71,62.27,5.81,16.14,30.75,25.23,2.86,99.99,24.27,9.63,14.09,0.98
1305.5,15.57,0.04,24.46,14.31,9.98,31.82,52.79,3.91,8.33,40.46,21.21,1.74,99.99,19.12,6.55,36.86,0.64
2018.8,11.52,0.00,21.81,33.61,54.61,45.07,7.42,11.76,19.74,73.02,64.41,2.83,99.99,31.32,12.85,99.99,0.90
3028.3,52.83,0.00,99.99,99.99,99.99,61.29,5.69,36.46,67.20,79.38,99.99,99.99,99.99,74.79,14.20,99.99,1.27
